analyte,sample_number,unit_note,value
arsenic,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.04348
selenium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0052521
bromine,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.22768
strontium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0914052
barium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.26397
lead,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00113354
methane,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0108437
hydrogen sulphide,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.02
hydrogen,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0276623
carbon monoxide,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0520516
nitrate,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.242
nitrite,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.004
ammonium,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.062
sulfate,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,129.0
chloride,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,523.0
phosphate,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.148
bicarbonate,P1.0034,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,127.0
lithium,P1.0035,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,3.7286
boron,P1.0035,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,6.66372
